15 35
0 2 17
2 0 17
0 3 31
3 0 31
0 4 21
4 0 21
0 7 4
7 0 4
0 8 27
8 0 27
0 13 7
13 0 7
1 4 23
4 1 23
1 6 9
6 1 9
1 7 32
7 1 32
1 9 13
9 1 13
1 10 8
10 1 8
1 14 1
14 1 1
2 5 10
5 2 10
2 6 2
6 2 2
2 10 16
10 2 16
3 4 33
4 3 33
3 7 30
7 3 30
3 8 11
8 3 11
3 11 29
11 3 29
4 7 14
7 4 14
4 9 12
9 4 12
4 10 28
10 4 28
4 11 20
11 4 20
4 12 24
12 4 24
4 14 35
14 4 35
5 6 5
6 5 5
5 13 22
13 5 22
7 8 15
8 7 15
7 10 3
10 7 3
8 9 19
9 8 19
8 11 25
11 8 25
9 13 34
13 9 34
10 12 26
12 10 26
10 14 18
14 10 18
11 13 6
13 11 6
